check,category,count
raw_candidates,all,69909
clean_fountains,all,68738
exclusion_reason,included,68738
exclusion_reason,fee=yes,390
exclusion_reason,access=private,182
exclusion_reason,indoor=yes,176
exclusion_reason,drinking_water=no,141
exclusion_reason,access=customers,111
exclusion_reason,access=no,72
exclusion_reason,disused,43
exclusion_reason,disused=yes,43
exclusion_reason,abandoned,7
exclusion_reason,was,5
exclusion_reason,abandoned=yes,1
matched_rule,amenity=drinking_water,68395
matched_rule,fountain=drinking,3329
matched_rule,amenity=fountain + drinking_water=yes,1001
matched_rule,man_made=water_tap + drinking_water=yes,901
amenity,drinking_water,68395
amenity,fountain,1024
amenity,missing,476
amenity,water_point,3
amenity,vending_machine,3
amenity,watering_place,2
amenity,post_box,2
amenity,place_of_worship,1
amenity,post_office,1
amenity,lavoir,1
amenity,shower,1
man_made,missing,61016
man_made,water_tap,8785
man_made,water_well,43
man_made,spring_box,22
man_made,drinking_fountain,19
man_made,tap,7
man_made,standpipe,5
man_made,yes,3
man_made,reservoir_covered,2
man_made,water_works,1
man_made,water_plant,1
man_made,man_made=ww,1
man_made,water_tower,1
man_made,flagpole,1
man_made,fountain,1
man_made,tap_water,1
fountain,missing,63802
fountain,drinking,3329
fountain,nasone,846
fountain,bubbler,700
fountain,bottle_refill,481
fountain,tap,215
fountain,toret,185
fountain,water_tap,148
fountain,stone_block,63
fountain,decorative,25
fountain,running,25
fountain,nozzle,22
fountain,roman_wolf,18
fountain,yes,13
fountain,sarcophagus,5
fountain,tarquinia,5
fountain,bottle_refill;water_tap,3
fountain,drinking_fountain,3
fountain,spring,2
fountain,bubbler;water_tap,2
fountain,drinking;bottle_refill;water_tap,2
fountain,drinking;bottle_refill;bubbler;water_tap,2
fountain,drinking;bubbler,2
fountain,trough,1
fountain,block,1
fountain,milanese,1
fountain,Fontanina_di_Contrada,1
fountain,vedovella,1
fountain,hose,1
fountain,scenic,1
fountain,dog_fountain,1
fountain,"drinking,bubbler",1
fountain,bubbler;drinking,1
fountain,pillar,1
drinking_water,missing,66126
drinking_water,yes,3347
drinking_water,no,141
drinking_water,conditional,133
drinking_water,treated,120
drinking_water,untreated,17
drinking_water,unknown,8
drinking_water,seasonal,6
drinking_water,fountain,2
drinking_water,boil,2
drinking_water,unspecified,2
drinking_water,draught,1
drinking_water,controllare,1
drinking_water,stream,1
drinking_water,Potenza,1
drinking_water,toret,1
access,missing,60119
access,yes,9251
access,private,183
access,customers,112
access,permissive,107
access,no,73
access,permit,27
access,university,20
access,unknown,13
access,residents,2
access,publico,1
access,restricted,1
fee,missing,59347
fee,no,10153
fee,yes,407
fee,?,1
fee,€0.05/l,1
indoor,missing,67100
indoor,no,2627
indoor,yes,181
indoor,Acqua potabile,1
